topic,question,answer
Rarecation,"How do I book a trip with Rarecation?","<ol><li>Visit <strong>rarecation.com</strong></li><li>Browse our <strong>Catalog</strong> and select your preferred adventure trip</li><li>Click the <strong>""WhatsApp Us""</strong> button at the bottom of the page</li><li>Choose one of our travel consultants to assist with your registration</li><li>Our consultant will explain the trip concept and itinerary in detail</li><li>Once you're satisfied, we'll issue an invoice for your booking</li><li>Make payment directly to: <strong>RARECATION TRAVEL SDN BHD (Maybank 5622 6352 9023)</strong></li><li>Send us the payment receipt to confirm your registration</li></ol><p><em>Note: Travellers from Singapore and Brunei are welcome! Just inform our consultant if you'll be joining from Singapore or Brunei.</em></p>"
Rarecation,"Why is the trip duration listed as ""10 Days 7 Nights""?","<p>The total duration includes <strong>2 travel days</strong> (flight time to and from the destination), regardless of overnight stays. So a ""10 Days 7 Nights"" trip means you'll spend 7 full nights at the destination, with 2 additional days allocated for international flights.</p>"
Rarecation,"Can I extend my trip (arrive early or depart late)?","<p>Yes, early arrival or late departure extensions are allowed. However:</p><ul><li><strong>Rarecation is not responsible</strong> for any risks faced during your extended stay</li><li><strong>All additional costs</strong> (accommodation, transport, meals) are borne by you</li><li>We can also help arrange early/late transfers for an <strong>additional fee</strong></li></ul><p>Please contact our consultant to discuss extension options.</p>"
Rarecation,"What's included in the package?","<p>Our packages typically include:</p><ul><li><strong>✈️ Return flights</strong> from KLIA / Changi Airport to destination</li><li><strong>🏨 Accommodation</strong> throughout the trip duration</li><li><strong>🚐 Transportation</strong> as per planned itinerary (including tolls, fuel, parking fees if travelling by car/motorhome)</li><li><strong>🛡️ Travel insurance</strong> (for full-package participants departing from Malaysia)</li><li><strong>👕 Limited edition merchandise</strong> (Hoodies/Windbreaker from Rarecation)</li><li><strong>📋 Pre-trip briefing session</strong> (please confirm timing with our consultant)</li><li><strong>🍽️ Meals:</strong> Half Board / Full Board depending on destination (check specific trip details)</li></ul>"
Rarecation,"What's NOT included in the package?","<p>The following are <strong>excluded</strong> from our package price:</p><ul><li><strong>📋 Visa fees</strong> (where applicable)</li><li><strong>🍽️ Some meals</strong> (typically self-cooked meals, average budget around RM350 depending on trip)</li><li><strong>🚢 Unplanned transportation</strong> dependent on weather (ferries, boats, bicycles, cable cars, trains, etc.)</li><li><strong>🎯 Optional paid activities</strong> dependent on weather (boat rentals, hot spring visits, cycling tours, etc.)</li><li><strong>🎫 Paid attractions/entrance fees</strong> not in base itinerary</li></ul>"
Rarecation,"What about visa requirements?","<p>Visa requirements vary by destination and nationality:</p><ul><li>Some trips require visas, others are visa-free for Malaysian/Singaporean passport holders</li><li><strong>Visa fees are NOT included</strong> in the package price (costs vary by participant nationality)</li><li><strong>We can assist with visa processing</strong> according to our scheduled timeline</li><li>Please check with our consultant about specific visa requirements for your destination</li></ul><p><em>Tip: Malaysian and Singaporean passports often enjoy visa-free entry to many countries. Always verify current requirements before booking.</em></p>"
Rarecation,"How does meal arrangement work?","<p>Nearly all our packages follow a <strong>Half Board</strong> meal plan:</p><ul><li><strong>Breakfast</strong> ✅ Included</li><li><strong>Dinner</strong> ✅ Included</li><li><strong>Lunch</strong> ❌ Not included (unless stated as Full Board)</li></ul><p>Please check each individual trip listing for precise meal plan details, as some destinations may offer Full Board.</p>"
Rarecation,"How much should I budget for meals?","<p>We recommend budgeting approximately <strong>RM300 - RM350 per person</strong> for the entire trip for meals not included in the package.</p><p>This estimate covers:</p><ul><li>Lunches (if on Half Board plan)</li><li>Snacks and drinks between meals</li><li>Occasional self-cooked group meals (campcook style)</li></ul><p><em>Note: Actual spending may vary depending on destination and personal preferences. Budget-conscious travellers can manage with less, while food enthusiasts may spend more.</em></p>"
Rarecation,"How much should I budget for personal expenses?","<p>For personal spending money (souvenirs, shopping, optional activities), we recommend preparing around <strong>RM500 or more</strong>.</p><p>This covers:</p><ul><li>🛍️ Souvenirs and local products</li><li>☕ Coffee, snacks, personal items</li><li>🎁 Gifts for family/friends</li><li>🛒 Personal shopping</li></ul><p><em>Budget varies significantly by destination - European trips and Japan typically require more than Southeast Asian destinations. Adjust according to your shopping habits!</em></p>"
Rarecation,"Is there special pricing for senior citizens?","<p>We apologize, but <strong>there is currently no special senior citizen discount</strong>. All adult participants (12 years and above) pay the standard package rate.</p><p>However, seniors are most welcome to join our adventures! Please inform our consultant if you have any mobility concerns or special requirements so we can advise on trip suitability.</p>"
Rarecation,"What package is suitable for my 2-year-old child?","<p>For children aged <strong>2 years and above</strong>, pricing follows our <strong>Child Package (ages 2-11 years)</strong>.</p><p>Important notes:</p><ul><li>Package rate is based on <strong>child's age on the trip departure date</strong></li><li>Children under 2 years may be eligible for infant pricing (please check specific trip)</li><li>Child packages may have different inclusions (e.g., no separate bed)</li></ul><p>Contact our consultant for exact pricing and arrangements for young travellers.</p>"
Rarecation,"Can I book a Ground-only package (without flights)?","<p><strong>Yes, absolutely!</strong> We offer ground-only packages for travellers who prefer to arrange their own flights.</p><p>Important considerations for ground-only bookings:</p><ul><li><strong>❌ Travel insurance is NOT included</strong> (we strongly recommend arranging your own)</li><li>Our consultant can provide <strong>travel advice on flight timings</strong> to coordinate with group pickup</li><li>You'll need to make your own way to the meeting point at the destination</li></ul><p>Please discuss with our consultant to ensure smooth coordination with the main group.</p>"
Rarecation,"I'm not from Kuala Lumpur. What about transport costs to KLIA?","<p>Unfortunately, <strong>transportation from your location to KLIA/KLIA2 (or Changi Airport) is NOT included</strong> in our package price.</p><p>You'll need to arrange:</p><ul><li>Transport to/from your home → KLIA or Changi Airport</li><li>Parking fees (if driving yourself to airport)</li><li>Accommodation near airport (if required for early/late flights)</li></ul><p><em>Tips for cost-saving:</em></p><ul><li>Bus services (AeroBus, StarMart) from various Malaysian cities to KLIA</li><li>Carpool with fellow participants (we can help connect you)</li><li>Book flights from Singapore (Changi) if more convenient/cost-effective</li></ul>"
Rarecation,"I'm from Singapore/Brunei. Can I join your trips?","<p><strong>Absolutely yes! 🇸🇬🇧🇳</strong> We welcome travellers from Singapore and Brunei!</p><p>When enquiring, please inform our consultant that you'll be joining from:</p><ul><li><strong>Singapore:</strong> Flights can depart from Changi Airport (coordinate with us)</li><li><strong>Brunei:</strong> You may need to fly via KL or Singapore to meet the group</li></ul><p>We have many Singaporean and Bruneian repeat travellers in our community!</p>"
Rarecation,"I already have travel insurance. Can I get a discount?","<p><strong>No, we cannot provide a discount</strong> if you opt out of our travel insurance.</p><p>Here's how it works:</p><ul><li>Insurance is <strong>included in the package price</strong> for all full-package bookings</li><li><strong>Exception:</strong> Ground-only packages do NOT include insurance</li><li>You may choose to use our provided insurance or arrange your own (but no discount applies)</li></ul><p>We strongly recommend maintaining valid travel insurance for all international trips.</p>"
Rarecation,"Can I room with my spouse/partner throughout the trip?","<p>We understand couples want to stay together! Here's our rooming policy:</p><ul><li><strong>✅ We prioritize couples and families</strong> for room sharing requests</li><li>Room allocation depends on <strong>availability at accommodation venues</strong></li><li><strong>Please inform our consultant early</strong> if you require same-room arrangement</li><li>We'll do our best to accommodate, but cannot guarantee in all cases (especially for triple/quad sharing situations)</li></ul><p>For certainty, please confirm rooming preferences during booking.</p>"
Rarecation,"How much deposit is required to book?","<p>A deposit of <strong>50% of the total package price</strong> is required to secure your booking.</p><div class=""alert alert-warning""><strong>⚠️ Important Policy:</strong> Deposits are <strong>non-refundable</strong> if cancellation is initiated by the participant.</div><p>The remaining balance will be due 60 days before departure (see payment terms below).</p>"
Rarecation,"Can I pay in installments?","<p><strong>Yes!</strong> We offer flexible payment options:</p><h4>Option 1: Full Payment 💯</h4><p>Pay 100% upfront - <strong>Recommended</strong> to lock in flight prices early!</p><h4>Option 2: Installment Plan 📅</h4><ul><li><strong>Step 1:</strong> Pay 50% deposit upon booking</li><li><strong>Step 2:</strong> Settle remaining <strong>50% balance 60 days before departure date</strong></li></ul><p><em>Why pay early? Flight prices tend to increase closer to departure dates. Early payment helps us secure better fares for you!</em></p>"
Rarecation,"What if I need to cancel due to emergency? Can I get my deposit back?","<p>We understand emergencies happen, but our cancellation policy is as follows:</p><div class=""alert alert-danger""><strong>Cancellation Policy:</strong><br>If you cancel your participation, <strong>the deposit is non-refundable</strong>.</div><p>This policy exists because we commit payments to airlines, accommodations, and service providers upon your booking confirmation.</p><p><strong>In case of genuine emergencies:</strong></p><ul><li>Contact us immediately - we may be able to discuss options on a case-by-case basis</li><li>Travel insurance claims may cover cancellation costs (if you purchased comprehensive coverage)</li><li>Name transfers may be possible (subject to conditions and fees)</li></ul><p><em>We strongly recommend purchasing comprehensive travel insurance that includes trip cancellation coverage.</em></p>"
Rarecation,"How do I sign up for optional/add-on activities during the trip?","<p>Many of our destinations offer exciting optional activities beyond the base package:</p><p><strong>Examples of add-on activities:</strong></p><ul><li>🪂 Skydiving</li><li>🏝️ Island hopping tours</li><li>🤿 Scuba diving / snorkeling</li><li>🚡 Cable car rides</li><li>♨️ Hot spring visits</li><li>🚴 Cycling tours</li></ul><p><strong>How it works:</strong></p><ul><li>Activities are <strong>paid separately</strong> (not included in base package)</li><li>Announced during the trip based on weather and availability</li><li><strong>Allowed condition:</strong> Must not disrupt the main group itinerary or schedule</li><li>Pay directly to activity providers or through our coordinators</li></ul><p>These activities are completely optional - no pressure to participate!</p>"
Rarecation,"Is this trip for Muslims only?","<p><strong>No, not at all! 🌍</strong></p><p>While Rarecation is a Muslim-owned company and our trips are organized with Muslim-friendly considerations:</p><ul><li><strong>Our adventures are open to ALL travellers</strong> regardless of background or faith</li><li>Many non-Muslim friends have joined and enjoyed our trips thoroughly</li><li>We respect diversity and welcome everyone who loves travel and adventure</li></ul><p><strong>Muslim-friendly features we typically provide (when requested):</strong></p><ul><li>Halal meal options or prayer-friendly schedules</li><li>Prayer room/stop information</li><li>Alcohol-free social environment</li></ul><p>Everyone is welcome in the Rarecation travel family! 🤝</p>"
Rarecation,"Can I separate from the group for my own activities?","<p><strong>Yes, but with some conditions:</strong></p><p>✅ <strong>Allowed:</strong></p><ul><li>You may opt out of certain group activities for personal exploration</li><li>You can rejoin the group later</li><li>All personal expenses during your free time are <strong>borne by you</strong></li></ul><p>❌ <strong>Not Allowed:</strong></p><ul><li>Using company-rented vehicles (vans, motorhomes) for personal activities</li><li>Actions that disrupt the main itinerary or delay the group</li><li>Missing critical scheduled activities (flights, border crossings, etc.)</li></ul><p><em>Your safety is our priority. Please inform our trip captain if you plan to go solo for any portion.</em></p>"
Rarecation,"Do I need to drive? What about driving license requirements?","<p><strong>No, you don't need to drive! 🚗</strong></p><p>Our trips include professional drivers:</p><ul><li>Each trip has designated <strong>Captains and Co-Captains</strong> who handle all driving</li><li>You can sit back, relax, and enjoy the scenery</li></ul><p><strong>About driving licenses (for those interested):</strong></p><p>Malaysian driving licenses are valid in:</p><ul><li>🇨🇭 Switzerland</li><li>🇮🇹 Italy</li><li>🇦🇹 Austria</li><li>🇩🇪 Germany</li><li>🇦🇺 Australia</li><li>🇳🇿 New Zealand</li><li>🇮🇳 India</li><li>And other Commonwealth countries</li></ul><p><em>Note: International Driving Permit (IDP) recommended for longer stays or car rentals.</em></p>"
Rarecation,"Who are the Trip Captains?","<p>Every Rarecation trip is led by experienced <strong>Trip Captains</strong>:</p><p><strong>Team Structure:</strong></p><ul><li><strong>1 Main Captain</strong> - Primary leader responsible for overall trip coordination</li><li><strong>1 Co-Captain</strong> (or more for larger groups) - Supports the Captain</li></ul><p><strong>Captain Qualifications:</strong></p><ul><li>✅ Certified and experienced in group travel management</li><li>📸 Skilled in photography (great for your travel photos!)</li><li>🗺️ Knowledgeable about destinations</li><li>🤝 Trained in customer care and emergency response</li><li>😄 Friendly and passionate about creating memorable experiences</li></ul><p>Our captains are what make Rarecation trips special - they're not just guides, they're your travel companions!</p>"
AROYA Cruises,"How do I book a cruise with AROYA?","<p>Booking your AROYA cruise holiday is simple:</p><ol><li>Visit <strong>aroya.com</strong> or contact our reservation team</li><li>Select your preferred cruise itinerary (Red Sea, Arabian Gulf, etc.)</li><li>Choose your cabin category (Interior, Ocean View, Balcony, Suite)</li><li>Select your sailing date and passenger details</li><li>Pay deposit to secure booking</li><li>Receive booking confirmation via email</li></ol><p><strong>For Malaysian & Singaporean travellers:</strong> Our cruises are perfect for short getaways from the region! Popular routes depart from Jeddah (Saudi Arabia) and other Arabian Gulf ports.</p>"
